Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,87856,62781,0.3797864522543553
STATEN ISLAND,Staten Island,F,Female,102063,75029,0.4169018802106098
QUEENS,Queens,M,Male,461279,299588,0.417763066730722
QUEENS,Queens,F,Female,529506,354632,0.4548371622049272
MANHATTAN,Manhattan,M,Male,393740,267527,0.5156298749757426
MANHATTAN,Manhattan,F,Female,459100,323712,0.5415125687889748
BROOKLYN,Brooklyn,M,Male,416483,262574,0.3435778431505188
BROOKLYN,Brooklyn,F,Female,502322,331653,0.3727228949276142
THE BRONX,Bronx,M,Male,205406,145303,0.3078886964226009
THE BRONX,Bronx,F,Female,256600,186611,0.3403738702995191
%all%,%all%,M,Male,1564764,1037773,0.3933107894797763
%all%,%all%,F,Female,1849591,1271637,0.4243762464527268
