Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3353261118611447
Latino,Latino,STATEN ISLAND,Staten Island,0.2337485051558023
Black,Black,STATEN ISLAND,Staten Island,0.2150802354468342
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.534380678820564
White,White,QUEENS,Queens,0.3557273484988823
Latino,Latino,QUEENS,Queens,0.290729979816579
Black,Black,QUEENS,Queens,0.2180546174231476
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5271823956322076
White,White,MANHATTAN,Manhattan,0.512445856919573
Latino,Latino,MANHATTAN,Manhattan,0.320142820740272
Black,Black,MANHATTAN,Manhattan,0.292556181865451
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5794256711393466
White,White,BROOKLYN,Brooklyn,0.3286237288423701
Latino,Latino,BROOKLYN,Brooklyn,0.2486731902770226
Black,Black,BROOKLYN,Brooklyn,0.2157906776786489
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5190660019067564
White,White,THE BRONX,Bronx,0.3541393723007523
Latino,Latino,THE BRONX,Bronx,0.2146796042062429
Black,Black,THE BRONX,Bronx,0.2114242797642716
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4022839610870602
White,White,%all%,%all%,0.3886619417921712
Latino,Latino,%all%,%all%,0.2599387685210782
Black,Black,%all%,%all%,0.2236998917763144
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.528102156054998
