Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3479753610017167
STATEN ISLAND,Staten Island,75to84,75 to 84,0.4424996701701922
STATEN ISLAND,Staten Island,65to74,65 to 74,0.4403866349471699
STATEN ISLAND,Staten Island,55to64,55 to 64,0.2182972932103433
STATEN ISLAND,Staten Island,45to54,45 to 54,0.163046188368759
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1374421198499341
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1025973825306324
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0524802620594157
STATEN ISLAND,Staten Island,%all%,%all%,0.2031524359490322
QUEENS,Queens,85andUp,85+,0.2577617343822401
QUEENS,Queens,75to84,75 to 84,0.3149640311405284
QUEENS,Queens,65to74,65 to 74,0.3248285753991396
QUEENS,Queens,55to64,55 to 64,0.1642667604402713
QUEENS,Queens,45to54,45 to 54,0.132697168118901
QUEENS,Queens,35to44,35 to 44,0.1206704031529173
QUEENS,Queens,25to34,25 to 34,0.0997798235601431
QUEENS,Queens,18to24,18 to 24,0.0541418974458702
QUEENS,Queens,%all%,%all%,0.1583792083335887
MANHATTAN,Manhattan,85andUp,85+,0.412874893643894
MANHATTAN,Manhattan,75to84,75 to 84,0.5296125462305284
MANHATTAN,Manhattan,65to74,65 to 74,0.5125876485972198
MANHATTAN,Manhattan,55to64,55 to 64,0.2228064336643286
MANHATTAN,Manhattan,45to54,45 to 54,0.171794155164682
MANHATTAN,Manhattan,35to44,35 to 44,0.1539793116181335
MANHATTAN,Manhattan,25to34,25 to 34,0.1365059582417092
MANHATTAN,Manhattan,18to24,18 to 24,0.0756594201510569
MANHATTAN,Manhattan,%all%,%all%,0.2218249446456697
BROOKLYN,Brooklyn,85andUp,85+,0.2084542958022754
BROOKLYN,Brooklyn,75to84,75 to 84,0.2809086732732677
BROOKLYN,Brooklyn,65to74,65 to 74,0.2940169232744967
BROOKLYN,Brooklyn,55to64,55 to 64,0.1421771921535689
BROOKLYN,Brooklyn,45to54,45 to 54,0.1159205866619719
BROOKLYN,Brooklyn,35to44,35 to 44,0.1045906823171856
BROOKLYN,Brooklyn,25to34,25 to 34,0.0877817041492125
BROOKLYN,Brooklyn,18to24,18 to 24,0.0392584660637277
BROOKLYN,Brooklyn,%all%,%all%,0.1330737131263802
THE BRONX,Bronx,85andUp,85+,0.2668377586722987
THE BRONX,Bronx,75to84,75 to 84,0.3556878885013854
THE BRONX,Bronx,65to74,65 to 74,0.3879913215425411
THE BRONX,Bronx,55to64,55 to 64,0.2208686683063596
THE BRONX,Bronx,45to54,45 to 54,0.1573969677537462
THE BRONX,Bronx,35to44,35 to 44,0.1169317304846628
THE BRONX,Bronx,25to34,25 to 34,0.0743576194452577
THE BRONX,Bronx,18to24,18 to 24,0.0345232110348186
THE BRONX,Bronx,%all%,%all%,0.1629521971996575
%all%,%all%,85andUp,85+,0.2845790161955538
%all%,%all%,75to84,75 to 84,0.3672467578410778
%all%,%all%,65to74,65 to 74,0.3711851084106039
%all%,%all%,55to64,55 to 64,0.1814421561406548
%all%,%all%,45to54,45 to 54,0.141296407794282
%all%,%all%,35to44,35 to 44,0.1226864841948235
%all%,%all%,25to34,25 to 34,0.1011135007841887
%all%,%all%,18to24,18 to 24,0.0502007444739178
%all%,%all%,%all%,%all%,0.1673009281080785
