Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.1865299858517806
Latino,Latino,STATEN ISLAND,Staten Island,0.0877809145238957
Black,Black,STATEN ISLAND,Staten Island,0.0919963036387958
Asian,Asian,STATEN ISLAND,Staten Island,0.1755511957663332
White,White,QUEENS,Queens,0.1539884452757198
Latino,Latino,QUEENS,Queens,0.0796683579972841
Black,Black,QUEENS,Queens,0.0742267644088762
Asian,Asian,QUEENS,Queens,0.1559233348994361
White,White,MANHATTAN,Manhattan,0.2244571131935467
Latino,Latino,MANHATTAN,Manhattan,0.1198121237308708
Black,Black,MANHATTAN,Manhattan,0.1170086457939534
Asian,Asian,MANHATTAN,Manhattan,0.1543307420989546
White,White,BROOKLYN,Brooklyn,0.1358390685624153
Latino,Latino,BROOKLYN,Brooklyn,0.0714494064430647
Black,Black,BROOKLYN,Brooklyn,0.0731072700180101
Asian,Asian,BROOKLYN,Brooklyn,0.1350122769821606
White,White,THE BRONX,Bronx,0.197338237876289
Latino,Latino,THE BRONX,Bronx,0.0881296364280168
Black,Black,THE BRONX,Bronx,0.098537224786476
Asian,Asian,THE BRONX,Bronx,0.1774449386792102
White,White,%all%,%all%,0.1750888925819235
Latino,Latino,%all%,%all%,0.0883058386236209
Black,Black,%all%,%all%,0.0843964645705331
Asian,Asian,%all%,%all%,0.152136115938582
