Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5236,4338,0.4380490760375644
STATEN ISLAND,Staten Island,75to84,75 to 84,15631,12815,0.5635691982936806
STATEN ISLAND,Staten Island,65to74,65 to 74,33159,26743,0.5731584474592254
STATEN ISLAND,Staten Island,55to64,55 to 64,36889,23280,0.352033872675034
STATEN ISLAND,Staten Island,45to54,45 to 54,26926,16160,0.2518232250825906
STATEN ISLAND,Staten Island,35to44,35 to 44,20202,12173,0.205715347956873
STATEN ISLAND,Staten Island,25to34,25 to 34,16472,9699,0.1498632549946693
STATEN ISLAND,Staten Island,18to24,18 to 24,7291,3553,0.0895592560504823
STATEN ISLAND,Staten Island,<18,<18,665,102,0.0009905322403074
STATEN ISLAND,Staten Island,%all%,%all%,162471,108863,0.2286350949189633
QUEENS,Queens,85andUp,85+,23700,18578,0.3598630421096607
QUEENS,Queens,75to84,75 to 84,63264,49598,0.4519350233324056
QUEENS,Queens,65to74,65 to 74,133936,102274,0.4899928867311446
QUEENS,Queens,55to64,55 to 64,159400,95016,0.3148482139469634
QUEENS,Queens,45to54,45 to 54,128564,74106,0.2458352626339161
QUEENS,Queens,35to44,35 to 44,114524,65338,0.2117175832761898
QUEENS,Queens,25to34,25 to 34,104349,59516,0.164182913436701
QUEENS,Queens,18to24,18 to 24,31791,17044,0.0975469873221365
QUEENS,Queens,<18,<18,2111,498,0.001108709163788
QUEENS,Queens,%all%,%all%,761639,481968,0.212476998536083
MANHATTAN,Manhattan,85andUp,85+,22738,19610,0.4923965617196838
MANHATTAN,Manhattan,75to84,75 to 84,60112,52755,0.6160227070089632
MANHATTAN,Manhattan,65to74,65 to 74,107154,92042,0.6227178125783394
MANHATTAN,Manhattan,55to64,55 to 64,112630,70758,0.3891138718832205
MANHATTAN,Manhattan,45to54,45 to 54,99477,56847,0.2942890564606502
MANHATTAN,Manhattan,35to44,35 to 44,105842,58657,0.2528899476854222
MANHATTAN,Manhattan,25to34,25 to 34,145584,77841,0.216503194757287
MANHATTAN,Manhattan,18to24,18 to 24,43122,20408,0.1417346655445906
MANHATTAN,Manhattan,<18,<18,2798,751,0.003298679346257
MANHATTAN,Manhattan,%all%,%all%,699457,449669,0.2790513656804456
BROOKLYN,Brooklyn,85andUp,85+,19240,14813,0.2905649274225187
BROOKLYN,Brooklyn,75to84,75 to 84,54310,41753,0.3914551710559624
BROOKLYN,Brooklyn,65to74,65 to 74,117894,89391,0.425179435224954
BROOKLYN,Brooklyn,55to64,55 to 64,127025,74422,0.260458116786533
BROOKLYN,Brooklyn,45to54,45 to 54,110378,61811,0.2092691779013157
BROOKLYN,Brooklyn,35to44,35 to 44,121806,66383,0.1854346259350925
BROOKLYN,Brooklyn,25to34,25 to 34,136434,72354,0.1539312528056063
BROOKLYN,Brooklyn,18to24,18 to 24,30513,15615,0.0751343237633421
BROOKLYN,Brooklyn,<18,<18,1767,480,0.000834690841864
BROOKLYN,Brooklyn,%all%,%all%,719367,437022,0.1707181873688183
THE BRONX,Bronx,85andUp,85+,11148,8903,0.3346466495928265
THE BRONX,Bronx,75to84,75 to 84,33020,25926,0.4478444076191985
THE BRONX,Bronx,65to74,65 to 74,68933,52606,0.499294783655836
THE BRONX,Bronx,55to64,55 to 64,88668,55707,0.3408574370541147
THE BRONX,Bronx,45to54,45 to 54,68370,41823,0.2404505016022546
THE BRONX,Bronx,35to44,35 to 44,51168,31154,0.1738601217734542
THE BRONX,Bronx,25to34,25 to 34,39581,24161,0.1064814155652484
THE BRONX,Bronx,18to24,18 to 24,15546,7817,0.056457728171376
THE BRONX,Bronx,<18,<18,910,219,0.000627064891493
THE BRONX,Bronx,%all%,%all%,377344,248316,0.1747448287554371
%all%,%all%,85andUp,85+,82062,66242,0.3701952631637774
%all%,%all%,75to84,75 to 84,226337,182847,0.4778132857841946
%all%,%all%,65to74,65 to 74,461076,363056,0.5050897682927677
%all%,%all%,55to64,55 to 64,524612,319183,0.319526677536415
%all%,%all%,45to54,45 to 54,433715,250747,0.2438966741141557
%all%,%all%,35to44,35 to 44,413542,233705,0.205562289230596
%all%,%all%,25to34,25 to 34,442420,243571,0.1641646991741586
%all%,%all%,18to24,18 to 24,128263,64437,0.0914426960188224
%all%,%all%,<18,<18,8251,2050,0.0012029653915064
%all%,%all%,%all%,%all%,2720278,1725838,0.2070140198591381
