Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.3063566864090334
Latino,Latino,STATEN ISLAND,Staten Island,0.1945874439281534
Black,Black,STATEN ISLAND,Staten Island,0.1816108259536098
Asian,Asian,STATEN ISLAND,Staten Island,0.3908479849976776
White,White,QUEENS,Queens,0.2763997416326483
Latino,Latino,QUEENS,Queens,0.195499963094873
Black,Black,QUEENS,Queens,0.1654049488837338
Asian,Asian,QUEENS,Queens,0.3605532746413325
White,White,MANHATTAN,Manhattan,0.3807182775359243
Latino,Latino,MANHATTAN,Manhattan,0.2330874964898176
Black,Black,MANHATTAN,Manhattan,0.2194578121010358
Asian,Asian,MANHATTAN,Manhattan,0.3322824633053462
White,White,BROOKLYN,Brooklyn,0.2611593795121852
Latino,Latino,BROOKLYN,Brooklyn,0.1742380199035543
Black,Black,BROOKLYN,Brooklyn,0.1667290314237542
Asian,Asian,BROOKLYN,Brooklyn,0.3369125942190648
White,White,THE BRONX,Bronx,0.2922229278090879
Latino,Latino,THE BRONX,Bronx,0.1671734983070238
Black,Black,THE BRONX,Bronx,0.1744537136901705
Asian,Asian,THE BRONX,Bronx,0.3162103228316042
White,White,%all%,%all%,0.3072121666392445
Latino,Latino,%all%,%all%,0.188902860504746
Black,Black,%all%,%all%,0.1745203114490336
Asian,Asian,%all%,%all%,0.3488102707208624
