Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2428141212618123
Latino,Latino,STATEN ISLAND,Staten Island,0.1337407683453434
Black,Black,STATEN ISLAND,Staten Island,0.1294200426918593
Asian,Asian,STATEN ISLAND,Staten Island,0.2653703632642341
White,White,QUEENS,Queens,0.2191218240271947
Latino,Latino,QUEENS,Queens,0.1388974322800708
Black,Black,QUEENS,Queens,0.1287726940963773
Asian,Asian,QUEENS,Queens,0.2653902198500186
White,White,MANHATTAN,Manhattan,0.3071760151926462
Latino,Latino,MANHATTAN,Manhattan,0.1821069054990394
Black,Black,MANHATTAN,Manhattan,0.1698765583550382
Asian,Asian,MANHATTAN,Manhattan,0.2372505091601921
White,White,BROOKLYN,Brooklyn,0.2023267193135293
Latino,Latino,BROOKLYN,Brooklyn,0.1277011103574109
Black,Black,BROOKLYN,Brooklyn,0.1237121077705002
Asian,Asian,BROOKLYN,Brooklyn,0.2311137983244607
White,White,THE BRONX,Bronx,0.2431414375189007
Latino,Latino,THE BRONX,Bronx,0.1287490922639954
Black,Black,THE BRONX,Bronx,0.1372791375593704
Asian,Asian,THE BRONX,Bronx,0.2419182178163219
White,White,%all%,%all%,0.2441923631836402
Latino,Latino,%all%,%all%,0.1410358316885882
Black,Black,%all%,%all%,0.1332640239646867
Asian,Asian,%all%,%all%,0.2507079986913384
