Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-08,4/8,50889,50889
2021-04-07,4/7,65669,65669
2021-04-06,4/6,65317,65317
2021-04-05,4/5,65396,65396
2021-04-04,4/4,38631,38631
2021-04-03,4/3,80553,80553
2021-04-02,4/2,102094,102094
2021-04-01,4/1,109174,109174
2021-03-31,3/31,95612,95612
2021-03-30,3/30,82255,82255
2021-03-29,3/29,73463,73463
2021-03-28,3/28,58954,58954
2021-03-27,3/27,78852,78852
2021-03-26,3/26,91824,91824
2021-03-25,3/25,94254,94254
2021-03-24,3/24,80220,80220
2021-03-23,3/23,70952,70952
2021-03-22,3/22,60883,60883
2021-03-21,3/21,48032,48032
2021-03-20,3/20,65710,65710
2021-03-19,3/19,79251,79251
2021-03-18,3/18,80701,80701
2021-03-17,3/17,69802,69802
2021-03-16,3/16,61749,61749
2021-03-15,3/15,53643,53643
2021-03-14,3/14,49074,49074
2021-03-13,3/13,69468,69468
2021-03-12,3/12,82644,82644
2021-03-11,3/11,82850,82850
2021-03-10,3/10,69996,69996
2021-03-09,3/9,58006,58006
2021-03-08,3/8,61640,61640
2021-03-07,3/7,56231,56231
2021-03-06,3/6,69835,69835
2021-03-05,3/5,85312,85312
2021-03-04,3/4,81369,81369
2021-03-03,3/3,63213,63213
2021-03-02,3/2,58172,58172
2021-03-01,3/1,50542,50542
2021-02-28,2/28,57352,57352
2021-02-27,2/27,72506,72506
2021-02-26,2/26,92133,92133
2021-02-25,2/25,82994,82994
2021-02-24,2/24,54545,54545
2021-02-23,2/23,38493,38493
2021-02-22,2/22,24059,24059
2021-02-21,2/21,23411,23411
2021-02-20,2/20,36108,36108
2021-02-19,2/19,36137,36137
2021-02-18,2/18,35776,35776
2021-02-17,2/17,37311,37311
2021-02-16,2/16,39899,39899
2021-02-15,2/15,22499,22499
2021-02-14,2/14,39267,39267
2021-02-13,2/13,51833,51833
2021-02-12,2/12,66968,66968
2021-02-11,2/11,59926,59926
2021-02-10,2/10,47447,47447
2021-02-09,2/9,44518,44518
2021-02-08,2/8,39574,39574
2021-02-07,2/7,19987,19987
2021-02-06,2/6,33594,33594
2021-02-05,2/5,46382,46382
2021-02-04,2/4,45506,45506
2021-02-03,2/3,36345,36345
2021-02-02,2/2,11824,11824
2021-02-01,2/1,6300,6300
2021-01-31,1/31,15593,15593
2021-01-30,1/30,21919,21919
2021-01-29,1/29,42562,42562
2021-01-28,1/28,41819,41819
2021-01-27,1/27,32455,32455
2021-01-26,1/26,26859,26859
2021-01-25,1/25,24018,24018
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18488,18488
2021-01-22,1/22,28475,28475
2021-01-21,1/21,33056,33056
2021-01-20,1/20,44236,44236
2021-01-19,1/19,43194,43194
2021-01-18,1/18,29062,29062
2021-01-17,1/17,25240,25240
2021-01-16,1/16,32288,32288
2021-01-15,1/15,32303,32303
2021-01-14,1/14,40713,40713
2021-01-13,1/13,40785,40785
2021-01-12,1/12,35618,35618
2021-01-11,1/11,32904,32904
2021-01-10,1/10,8771,8771
2021-01-09,1/9,9085,9085
2021-01-08,1/8,21786,21786
2021-01-07,1/7,21415,21415
2021-01-06,1/6,21406,21406
2021-01-05,1/5,15968,15968
2021-01-04,1/4,12952,12952
2021-01-03,1/3,3537,3537
2021-01-02,1/2,3801,3801
2021-01-01,1/1,163,163
2020-12-31,12/31,7227,7227
2020-12-30,12/30,12798,12798
2020-12-29,12/29,10673,10673
2020-12-28,12/28,10944,10944
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7234,7234
2020-12-23,12/23,14220,14220
2020-12-22,12/22,9715,9715
2020-12-21,12/21,6269,6269
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5773,5773
2020-12-17,12/17,4488,4488
2020-12-16,12/16,4508,4508
2020-12-15,12/15,2034,2034
2020-12-14,12/14,77,77
