Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.325265870260248
Latino,Latino,STATEN ISLAND,Staten Island,0.2163293395609107
Black,Black,STATEN ISLAND,Staten Island,0.2006669501577852
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5030970943978742
White,White,QUEENS,Queens,0.3336470967842767
Latino,Latino,QUEENS,Queens,0.255859051601345
Black,Black,QUEENS,Queens,0.1994276104268577
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.483049588260955
White,White,MANHATTAN,Manhattan,0.4920413482254342
Latino,Latino,MANHATTAN,Manhattan,0.2954924977862403
Black,Black,MANHATTAN,Manhattan,0.2753876032230957
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.544417409552975
White,White,BROOKLYN,Brooklyn,0.310364317070165
Latino,Latino,BROOKLYN,Brooklyn,0.2236421262862353
Black,Black,BROOKLYN,Brooklyn,0.1992963690433932
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4721285341418814
White,White,THE BRONX,Bronx,0.3344732101368032
Latino,Latino,THE BRONX,Bronx,0.1964162934162764
Black,Black,THE BRONX,Bronx,0.1978335861402837
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3755455849564507
White,White,%all%,%all%,0.3697870525314172
Latino,Latino,%all%,%all%,0.2349068943179333
Black,Black,%all%,%all%,0.2073600869294706
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4860923995778352
