Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5168,4180,0.5218620620014138
STATEN ISLAND,Staten Island,75to84,75 to 84,15444,12325,0.6791855402612252
STATEN ISLAND,Staten Island,65to74,65 to 74,32710,25544,0.7010437429006194
STATEN ISLAND,Staten Island,55to64,55 to 64,35849,21019,0.5420988961137154
STATEN ISLAND,Staten Island,45to54,45 to 54,25725,14774,0.400875771364458
STATEN ISLAND,Staten Island,35to44,35 to 44,19179,11184,0.3241119410551932
STATEN ISLAND,Staten Island,25to34,25 to 34,15397,8924,0.2379054064494198
STATEN ISLAND,Staten Island,18to24,18 to 24,6474,3138,0.1631879042135723
STATEN ISLAND,Staten Island,%all%,%all%,155946,101088,0.4178975039771504
QUEENS,Queens,85andUp,85+,23136,17721,0.4481532641968517
QUEENS,Queens,75to84,75 to 84,61787,47191,0.5630007114528678
QUEENS,Queens,65to74,65 to 74,130673,96838,0.6260519827895542
QUEENS,Queens,55to64,55 to 64,152820,86994,0.5063894928788304
QUEENS,Queens,45to54,45 to 54,121213,68153,0.4021054933425751
QUEENS,Queens,35to44,35 to 44,106721,59963,0.3458127307970591
QUEENS,Queens,25to34,25 to 34,96494,54759,0.2661917139787793
QUEENS,Queens,18to24,18 to 24,27966,15313,0.1600562689187321
QUEENS,Queens,%all%,%all%,720810,446932,0.3962324929071665
MANHATTAN,Manhattan,85andUp,85+,22402,19114,0.5625021813179172
MANHATTAN,Manhattan,75to84,75 to 84,59438,51654,0.694060423830893
MANHATTAN,Manhattan,65to74,65 to 74,105706,89669,0.7151627419700348
MANHATTAN,Manhattan,55to64,55 to 64,109355,65756,0.601367300655609
MANHATTAN,Manhattan,45to54,45 to 54,94823,53094,0.490885555979528
MANHATTAN,Manhattan,35to44,35 to 44,99762,54740,0.4301073522511055
MANHATTAN,Manhattan,25to34,25 to 34,134623,72433,0.3744339048548997
MANHATTAN,Manhattan,18to24,18 to 24,37880,18276,0.2630786520398417
MANHATTAN,Manhattan,%all%,%all%,663989,424736,0.4798463701709186
BROOKLYN,Brooklyn,85andUp,85+,18737,14076,0.3675362887406826
BROOKLYN,Brooklyn,75to84,75 to 84,53186,39993,0.4986452405284032
BROOKLYN,Brooklyn,65to74,65 to 74,115349,85228,0.5486460904762586
BROOKLYN,Brooklyn,55to64,55 to 64,122431,68490,0.4284774353859345
BROOKLYN,Brooklyn,45to54,45 to 54,104596,57374,0.3541233588158421
BROOKLYN,Brooklyn,35to44,35 to 44,114417,61760,0.3196130574938685
BROOKLYN,Brooklyn,25to34,25 to 34,126789,67390,0.2697402992504909
BROOKLYN,Brooklyn,18to24,18 to 24,27022,14096,0.1300211141039405
BROOKLYN,Brooklyn,%all%,%all%,682527,408407,0.3438700723091239
THE BRONX,Bronx,85andUp,85+,10805,8501,0.4061391720600348
THE BRONX,Bronx,75to84,75 to 84,32161,24844,0.555547481039923
THE BRONX,Bronx,65to74,65 to 74,67084,50300,0.6367085744357698
THE BRONX,Bronx,55to64,55 to 64,84849,51491,0.5191701702946592
THE BRONX,Bronx,45to54,45 to 54,64329,38764,0.3698429169971412
THE BRONX,Bronx,35to44,35 to 44,47558,28704,0.2654053948546554
THE BRONX,Bronx,25to34,25 to 34,36553,22265,0.1610949539818933
THE BRONX,Bronx,18to24,18 to 24,13622,6880,0.0983839290201463
THE BRONX,Bronx,%all%,%all%,356961,231749,0.3330560857529828
%all%,%all%,85andUp,85+,80248,63592,0.4484681845108362
%all%,%all%,75to84,75 to 84,222016,176007,0.5801691821942045
%all%,%all%,65to74,65 to 74,451522,347579,0.6281651931357342
%all%,%all%,55to64,55 to 64,505304,293750,0.5058480817144418
%all%,%all%,45to54,45 to 54,410686,232159,0.3994661930361925
%all%,%all%,35to44,35 to 44,387637,216351,0.3409578276480202
%all%,%all%,25to34,25 to 34,409856,225771,0.2762393180827109
%all%,%all%,18to24,18 to 24,112964,57703,0.160307474169658
%all%,%all%,%all%,%all%,2580233,1612912,0.3890172951212734
